ticker,series,date,value
TAT,ATM (TAT),2018-10-01,50.9903
TAT,ATM (TAT),2018-10-02,50.9253
TAT,ATM (TAT),2018-10-03,56.041
TAT,ATM (TAT),2018-10-04,63.6672
TAT,ATM (TAT),2018-10-05,61.5674
TAT,ATM (TAT),2018-10-08,63.4746
TAT,ATM (TAT),2018-10-09,61.0002
TAT,ATM (TAT),2018-10-10,64.9527
TAT,ATM (TAT),2018-10-11,61.9005
TAT,ATM (TAT),2018-10-12,58.6384
TAT,ATM (TAT),2018-10-15,56.9086
TAT,ATM (TAT),2018-10-16,54.5498
TAT,ATM (TAT),2018-10-17,52.7548
TAT,ATM (TAT),2018-10-18,56.2052
TAT,ATM (TAT),2018-10-19,56.5311
TAT,ATM (TAT),2018-10-22,58.3941
TAT,ATM (TAT),2018-10-23,62.2238
TAT,ATM (TAT),2018-10-24,64.5621
TAT,ATM (TAT),2018-10-25,60.5143
TAT,ATM (TAT),2018-10-26,68.7455
TAT,ATM (TAT),2018-10-29,67.9999
TAT,ATM (TAT),2018-10-30,69.6122
TAT,ATM (TAT),2018-10-31,66.1871
TAT,ATM (TAT),2018-11-01,64.8756
TAT,ATM (TAT),2018-11-02,66.7547
TAT,ATM (TAT),2018-11-05,67.3869
TAT,ATM (TAT),2018-11-06,69.6075
TAT,ATM (TAT),2018-11-07,57.4373
TAT,ATM (TAT),2018-11-08,56.6116
TAT,ATM (TAT),2018-11-09,55.4645
TAT,ATM (TAT),2018-11-12,56.9377
TAT,ATM (TAT),2018-11-13,59.4354
TAT,ATM (TAT),2018-11-14,62.6283
TAT,ATM (TAT),2018-11-15,61.7845
TAT,ATM (TAT),2018-11-16,64.5733
TAT,ATM (TAT),2018-11-19,68.3824
TAT,ATM (TAT),2018-11-20,67.7128
TAT,ATM (TAT),2018-11-21,64.9645
TAT,ATM (TAT),2018-11-23,62.4342
TAT,ATM (TAT),2018-11-26,60.2477
TAT,ATM (TAT),2018-11-27,59.3541
TAT,ATM (TAT),2018-11-28,58.8569
TAT,ATM (TAT),2018-11-29,58.9472
TAT,ATM (TAT),2018-11-30,59.1706
TAT,ATM (TAT),2018-12-03,57.0611
TAT,ATM (TAT),2018-12-04,61.4134
TAT,ATM (TAT),2018-12-05,62.7058
TAT,ATM (TAT),2018-12-06,68.4512
TAT,ATM (TAT),2018-12-07,66.4155
TAT,ATM (TAT),2018-12-10,63.2852
TAT,ATM (TAT),2018-12-11,61.408
TAT,ATM (TAT),2018-12-12,59.572
TAT,ATM (TAT),2018-12-13,55.6259
TAT,ATM (TAT),2018-12-14,56.2341
TAT,ATM (TAT),2018-12-17,60.5081
TAT,ATM (TAT),2018-12-18,63.3625
TAT,ATM (TAT),2018-12-19,58.8784
TAT,ATM (TAT),2018-12-20,63.2022
TAT,ATM (TAT),2018-12-21,65.9268
TAT,ATM (TAT),2018-12-24,70.4476
TAT,ATM (TAT),2018-12-26,63.2211
TAT,ATM (TAT),2018-12-27,68.7919
TAT,ATM (TAT),2018-12-28,66.3933
TAT,ATM (TAT),2018-12-31,67.1055
TAT,ATM (TAT),2019-01-02,64.4992
TAT,ATM (TAT),2019-01-03,71.0712
TAT,ATM (TAT),2019-01-04,67.3199
TAT,ATM (TAT),2019-01-07,66.4827
TAT,ATM (TAT),2019-01-08,65.3372
TAT,ATM (TAT),2019-01-09,63.1888
TAT,ATM (TAT),2019-01-10,62.5092
TAT,ATM (TAT),2019-01-11,59.401
TAT,ATM (TAT),2019-01-14,61.8361
TAT,ATM (TAT),2019-01-15,59.2903
TAT,ATM (TAT),2019-01-16,58.017
TAT,ATM (TAT),2019-01-17,58.0412
TAT,ATM (TAT),2019-01-18,56.5026
TAT,ATM (TAT),2019-01-22,60.9707
TAT,ATM (TAT),2019-01-23,59.307
TAT,ATM (TAT),2019-01-24,59.4736
TAT,ATM (TAT),2019-01-25,56.1042
TAT,ATM (TAT),2019-01-28,56.3189
TAT,ATM (TAT),2019-01-29,57.2219
TAT,ATM (TAT),2019-01-30,56.0278
TAT,ATM (TAT),2019-01-31,55.0581
TAT,ATM (TAT),2019-02-01,53.0989
TAT,ATM (TAT),2019-02-04,54.342
TAT,ATM (TAT),2019-02-05,53.9715
TAT,ATM (TAT),2019-02-06,54.2442
TAT,ATM (TAT),2019-02-07,55.2982
TAT,ATM (TAT),2019-02-08,54.5939
TAT,ATM (TAT),2019-02-11,54.7212
TAT,ATM (TAT),2019-02-12,55.1879
TAT,ATM (TAT),2019-02-13,52.3708
TAT,ATM (TAT),2019-02-14,52.9234
TAT,ATM (TAT),2019-02-15,51.0492
TAT,ATM (TAT),2019-02-19,52.6369
TAT,ATM (TAT),2019-02-20,51.9448
TAT,ATM (TAT),2019-02-21,53.1207
TAT,ATM (TAT),2019-02-22,52.0784
TAT,ATM (TAT),2019-02-25,52.336
TAT,ATM (TAT),2019-02-26,53.2031
TAT,ATM (TAT),2019-02-27,53.9698
TAT,ATM (TAT),2019-02-28,52.6427
TAT,ATM (TAT),2019-03-01,53.5863
TAT,ATM (TAT),2019-03-04,53.5489
TAT,ATM (TAT),2019-03-05,51.6027
TAT,ATM (TAT),2019-03-06,51.2311
TAT,ATM (TAT),2019-03-07,53.5233
TAT,ATM (TAT),2019-03-08,50.6444
TAT,ATM (TAT),2019-03-11,50.748
TAT,ATM (TAT),2019-03-12,51.3294
TAT,ATM (TAT),2019-03-13,50.7979
TAT,ATM (TAT),2019-03-14,50.6008
TAT,ATM (TAT),2019-03-15,51.8648
TAT,ATM (TAT),2019-03-18,52.5534
TAT,ATM (TAT),2019-03-19,51.584
TAT,ATM (TAT),2019-03-20,49.6817
TAT,ATM (TAT),2019-03-21,50.6525
TAT,ATM (TAT),2019-03-22,55.5536
TAT,ATM (TAT),2019-03-25,64.36
TAT,ATM (TAT),2019-03-26,62.2199
TAT,ATM (TAT),2019-03-27,66.8573
TAT,ATM (TAT),2019-03-28,63.0563
TAT,ATM (TAT),2019-03-29,60.6077
TAT,ATM (TAT),2019-04-01,56.6397
TAT,ATM (TAT),2019-04-02,55.8759
TAT,ATM (TAT),2019-04-03,52.8319
