ticker,series,date,value
TCO,Convexity (TCO),2018-10-01,1.0685
TCO,Convexity (TCO),2018-10-02,1.0515
TCO,Convexity (TCO),2018-10-03,1.0543
TCO,Convexity (TCO),2018-10-04,1.0577
TCO,Convexity (TCO),2018-10-05,1.0696
TCO,Convexity (TCO),2018-10-08,1.0558
TCO,Convexity (TCO),2018-10-09,1.0687
TCO,Convexity (TCO),2018-10-10,1.079
TCO,Convexity (TCO),2018-10-11,1.0782
TCO,Convexity (TCO),2018-10-12,1.0677
TCO,Convexity (TCO),2018-10-15,1.0585
TCO,Convexity (TCO),2018-10-16,1.0638
TCO,Convexity (TCO),2018-10-17,1.0642
TCO,Convexity (TCO),2018-10-18,1.0643
TCO,Convexity (TCO),2018-10-19,1.0697
TCO,Convexity (TCO),2018-10-22,1.0794
TCO,Convexity (TCO),2018-10-23,1.0702
TCO,Convexity (TCO),2018-10-24,1.1006
TCO,Convexity (TCO),2018-10-25,1.0982
TCO,Convexity (TCO),2018-10-26,1.089
TCO,Convexity (TCO),2018-10-29,1.0926
TCO,Convexity (TCO),2018-10-30,1.0878
TCO,Convexity (TCO),2018-10-31,1.0578
TCO,Convexity (TCO),2018-11-01,1.0808
TCO,Convexity (TCO),2018-11-02,1.0792
TCO,Convexity (TCO),2018-11-05,1.0581
TCO,Convexity (TCO),2018-11-06,1.0749
TCO,Convexity (TCO),2018-11-07,1.058
TCO,Convexity (TCO),2018-11-08,1.0877
TCO,Convexity (TCO),2018-11-09,1.0853
TCO,Convexity (TCO),2018-11-12,1.0905
TCO,Convexity (TCO),2018-11-13,1.0874
TCO,Convexity (TCO),2018-11-14,1.0917
TCO,Convexity (TCO),2018-11-15,1.0874
TCO,Convexity (TCO),2018-11-16,1.0718
TCO,Convexity (TCO),2018-11-19,1.0623
TCO,Convexity (TCO),2018-11-20,1.0662
TCO,Convexity (TCO),2018-11-21,1.0636
TCO,Convexity (TCO),2018-11-23,1.0661
TCO,Convexity (TCO),2018-11-26,1.0566
TCO,Convexity (TCO),2018-11-27,1.0846
TCO,Convexity (TCO),2018-11-28,1.0703
TCO,Convexity (TCO),2018-11-29,1.072
TCO,Convexity (TCO),2018-11-30,1.069
TCO,Convexity (TCO),2018-12-03,1.0605
TCO,Convexity (TCO),2018-12-04,1.0734
TCO,Convexity (TCO),2018-12-05,1.0742
TCO,Convexity (TCO),2018-12-06,1.0871
TCO,Convexity (TCO),2018-12-07,1.1118
TCO,Convexity (TCO),2018-12-10,1.0962
TCO,Convexity (TCO),2018-12-11,1.1072
TCO,Convexity (TCO),2018-12-12,1.0888
TCO,Convexity (TCO),2018-12-13,1.0781
TCO,Convexity (TCO),2018-12-14,1.0832
TCO,Convexity (TCO),2018-12-17,1.0909
TCO,Convexity (TCO),2018-12-18,1.0721
TCO,Convexity (TCO),2018-12-19,1.0902
TCO,Convexity (TCO),2018-12-20,1.1237
TCO,Convexity (TCO),2018-12-21,1.1506
TCO,Convexity (TCO),2018-12-24,1.1572
TCO,Convexity (TCO),2018-12-26,1.1412
TCO,Convexity (TCO),2018-12-27,1.1282
TCO,Convexity (TCO),2018-12-28,1.102
TCO,Convexity (TCO),2018-12-31,1.1103
TCO,Convexity (TCO),2019-01-02,1.1084
TCO,Convexity (TCO),2019-01-03,1.1329
TCO,Convexity (TCO),2019-01-04,1.1054
TCO,Convexity (TCO),2019-01-07,1.0976
TCO,Convexity (TCO),2019-01-08,1.1107
TCO,Convexity (TCO),2019-01-09,1.0928
TCO,Convexity (TCO),2019-01-10,1.0532
TCO,Convexity (TCO),2019-01-11,1.0588
TCO,Convexity (TCO),2019-01-14,1.078
TCO,Convexity (TCO),2019-01-15,1.0987
TCO,Convexity (TCO),2019-01-16,1.113
TCO,Convexity (TCO),2019-01-17,1.1106
TCO,Convexity (TCO),2019-01-18,1.1083
TCO,Convexity (TCO),2019-01-22,1.1089
TCO,Convexity (TCO),2019-01-23,1.1371
TCO,Convexity (TCO),2019-01-24,1.0745
TCO,Convexity (TCO),2019-01-25,1.0822
TCO,Convexity (TCO),2019-01-28,1.0995
TCO,Convexity (TCO),2019-01-29,1.0941
TCO,Convexity (TCO),2019-01-30,1.0632
TCO,Convexity (TCO),2019-01-31,1.0895
TCO,Convexity (TCO),2019-02-01,1.061
TCO,Convexity (TCO),2019-02-04,1.0544
TCO,Convexity (TCO),2019-02-05,1.0633
TCO,Convexity (TCO),2019-02-06,1.0337
TCO,Convexity (TCO),2019-02-07,1.0436
TCO,Convexity (TCO),2019-02-08,1.048
TCO,Convexity (TCO),2019-02-11,1.0557
