ticker,series,date,value
TDN,Down Var (TDN),2018-10-01,54.2672
TDN,Down Var (TDN),2018-10-02,53.9359
TDN,Down Var (TDN),2018-10-03,58.0728
TDN,Down Var (TDN),2018-10-04,63.4436
TDN,Down Var (TDN),2018-10-05,62.582
TDN,Down Var (TDN),2018-10-08,64.8353
TDN,Down Var (TDN),2018-10-09,63.4666
TDN,Down Var (TDN),2018-10-10,69.9679
TDN,Down Var (TDN),2018-10-11,68.8708
TDN,Down Var (TDN),2018-10-12,65.1155
TDN,Down Var (TDN),2018-10-15,59.7954
TDN,Down Var (TDN),2018-10-16,56.5871
TDN,Down Var (TDN),2018-10-17,55.7719
TDN,Down Var (TDN),2018-10-18,60.832
TDN,Down Var (TDN),2018-10-19,60.163
TDN,Down Var (TDN),2018-10-22,63.6819
TDN,Down Var (TDN),2018-10-23,68.5099
TDN,Down Var (TDN),2018-10-24,73.656
TDN,Down Var (TDN),2018-10-25,69.0913
TDN,Down Var (TDN),2018-10-26,78.5039
TDN,Down Var (TDN),2018-10-29,79.4786
TDN,Down Var (TDN),2018-10-30,79.6659
TDN,Down Var (TDN),2018-10-31,71.5853
TDN,Down Var (TDN),2018-11-01,72.4824
TDN,Down Var (TDN),2018-11-02,73.032
TDN,Down Var (TDN),2018-11-05,73.0067
TDN,Down Var (TDN),2018-11-06,74.1942
TDN,Down Var (TDN),2018-11-07,60.3028
TDN,Down Var (TDN),2018-11-08,59.9851
TDN,Down Var (TDN),2018-11-09,60.9477
TDN,Down Var (TDN),2018-11-12,64.6295
TDN,Down Var (TDN),2018-11-13,66.7508
TDN,Down Var (TDN),2018-11-14,71.1716
TDN,Down Var (TDN),2018-11-15,68.7674
TDN,Down Var (TDN),2018-11-16,71.1737
TDN,Down Var (TDN),2018-11-19,77.0647
TDN,Down Var (TDN),2018-11-20,75.9286
TDN,Down Var (TDN),2018-11-21,71.4029
TDN,Down Var (TDN),2018-11-23,69.5752
TDN,Down Var (TDN),2018-11-26,64.8435
TDN,Down Var (TDN),2018-11-27,65.3029
TDN,Down Var (TDN),2018-11-28,62.969
TDN,Down Var (TDN),2018-11-29,64.1031
TDN,Down Var (TDN),2018-11-30,64.7168
TDN,Down Var (TDN),2018-12-03,62.1883
TDN,Down Var (TDN),2018-12-04,68.2148
TDN,Down Var (TDN),2018-12-05,69.7009
TDN,Down Var (TDN),2018-12-06,80.3084
TDN,Down Var (TDN),2018-12-07,81.0438
TDN,Down Var (TDN),2018-12-10,75.0668
TDN,Down Var (TDN),2018-12-11,72.6285
TDN,Down Var (TDN),2018-12-12,67.5805
TDN,Down Var (TDN),2018-12-13,61.8714
TDN,Down Var (TDN),2018-12-14,63.1398
TDN,Down Var (TDN),2018-12-17,69.4709
TDN,Down Var (TDN),2018-12-18,71.6734
TDN,Down Var (TDN),2018-12-19,67.1511
TDN,Down Var (TDN),2018-12-20,76.0023
TDN,Down Var (TDN),2018-12-21,82.1581
TDN,Down Var (TDN),2018-12-24,90.8784
TDN,Down Var (TDN),2018-12-26,78.0233
TDN,Down Var (TDN),2018-12-27,85.133
TDN,Down Var (TDN),2018-12-28,76.2921
TDN,Down Var (TDN),2018-12-31,78.3515
TDN,Down Var (TDN),2019-01-02,74.3209
TDN,Down Var (TDN),2019-01-03,88.1903
TDN,Down Var (TDN),2019-01-04,75.9898
TDN,Down Var (TDN),2019-01-07,76.4537
