ticker,series,date,value
TSK,Skew (TSK),2018-10-01,0.402
TSK,Skew (TSK),2018-10-02,-0.7873
TSK,Skew (TSK),2018-10-03,1.9827
TSK,Skew (TSK),2018-10-04,7.6878
TSK,Skew (TSK),2018-10-05,6.508
TSK,Skew (TSK),2018-10-08,4.1733
TSK,Skew (TSK),2018-10-09,3.243
TSK,Skew (TSK),2018-10-10,0.2949
TSK,Skew (TSK),2018-10-11,-3.9878
TSK,Skew (TSK),2018-10-12,-4.9159
TSK,Skew (TSK),2018-10-15,0.9881
TSK,Skew (TSK),2018-10-16,2.8884
TSK,Skew (TSK),2018-10-17,0.6439
TSK,Skew (TSK),2018-10-18,-2.1321
TSK,Skew (TSK),2018-10-19,0.6072
TSK,Skew (TSK),2018-10-22,-1.2199
TSK,Skew (TSK),2018-10-23,-3.8409
TSK,Skew (TSK),2018-10-24,-4.9713
TSK,Skew (TSK),2018-10-25,-5.0303
TSK,Skew (TSK),2018-10-26,-7.0599
TSK,Skew (TSK),2018-10-29,-10.3153
TSK,Skew (TSK),2018-10-30,-8.0497
TSK,Skew (TSK),2018-10-31,-3.072
TSK,Skew (TSK),2018-11-01,-4.7862
TSK,Skew (TSK),2018-11-02,-1.8814
TSK,Skew (TSK),2018-11-05,-3.6137
TSK,Skew (TSK),2018-11-06,1.3637
TSK,Skew (TSK),2018-11-07,0.9747
TSK,Skew (TSK),2018-11-08,3.3029
TSK,Skew (TSK),2018-11-09,-1.5564
TSK,Skew (TSK),2018-11-12,-5.1288
TSK,Skew (TSK),2018-11-13,-4.2385
TSK,Skew (TSK),2018-11-14,-5.6262
TSK,Skew (TSK),2018-11-15,-3.0601
TSK,Skew (TSK),2018-11-16,-3.8664
TSK,Skew (TSK),2018-11-19,-9.0616
TSK,Skew (TSK),2018-11-20,-7.5163
TSK,Skew (TSK),2018-11-21,-4.5179
TSK,Skew (TSK),2018-11-23,-6.0494
TSK,Skew (TSK),2018-11-26,-2.4194
TSK,Skew (TSK),2018-11-27,-1.8111
TSK,Skew (TSK),2018-11-28,0.2114
TSK,Skew (TSK),2018-11-29,-1.6893
TSK,Skew (TSK),2018-11-30,-2.8882
TSK,Skew (TSK),2018-12-03,-3.1545
TSK,Skew (TSK),2018-12-04,-4.6435
TSK,Skew (TSK),2018-12-05,-4.7454
TSK,Skew (TSK),2018-12-06,-12.322
TSK,Skew (TSK),2018-12-07,-14.9058
TSK,Skew (TSK),2018-12-10,-11.648
TSK,Skew (TSK),2018-12-11,-9.3531
TSK,Skew (TSK),2018-12-12,-5.3518
TSK,Skew (TSK),2018-12-13,-3.7881
TSK,Skew (TSK),2018-12-14,-4.3786
TSK,Skew (TSK),2018-12-17,-7.0362
TSK,Skew (TSK),2018-12-18,-7.592
TSK,Skew (TSK),2018-12-19,-5.9366
TSK,Skew (TSK),2018-12-20,-10.0243
TSK,Skew (TSK),2018-12-21,-12.931
TSK,Skew (TSK),2018-12-24,-19.6333
TSK,Skew (TSK),2018-12-26,-12.084
TSK,Skew (TSK),2018-12-27,-15.6359
TSK,Skew (TSK),2018-12-28,-6.2353
TSK,Skew (TSK),2018-12-31,-7.6429
TSK,Skew (TSK),2019-01-02,-5.631
TSK,Skew (TSK),2019-01-03,-15.8504
TSK,Skew (TSK),2019-01-04,-2.9918
TSK,Skew (TSK),2019-01-07,-6.7895
TSK,Skew (TSK),2019-01-08,-7.3945
TSK,Skew (TSK),2019-01-09,-8.3503
TSK,Skew (TSK),2019-01-10,-4.9503
TSK,Skew (TSK),2019-01-11,-4.4722
TSK,Skew (TSK),2019-01-14,-6.1066
TSK,Skew (TSK),2019-01-15,-8.6994
TSK,Skew (TSK),2019-01-16,-7.709
TSK,Skew (TSK),2019-01-17,-4.4748
TSK,Skew (TSK),2019-01-18,-3.3658
TSK,Skew (TSK),2019-01-22,-9.1897
TSK,Skew (TSK),2019-01-23,-10.8796
TSK,Skew (TSK),2019-01-24,-6.2935
TSK,Skew (TSK),2019-01-25,-5.4147
TSK,Skew (TSK),2019-01-28,-6.276
TSK,Skew (TSK),2019-01-29,-6.458
TSK,Skew (TSK),2019-01-30,-4.4956
TSK,Skew (TSK),2019-01-31,-8.1472
TSK,Skew (TSK),2019-02-01,-3.8286
TSK,Skew (TSK),2019-02-04,-4.4951
TSK,Skew (TSK),2019-02-05,-5.3213
TSK,Skew (TSK),2019-02-06,-2.9437
TSK,Skew (TSK),2019-02-07,-5.0503
TSK,Skew (TSK),2019-02-08,-6.4314
TSK,Skew (TSK),2019-02-11,-6.15
TSK,Skew (TSK),2019-02-12,-5.06
TSK,Skew (TSK),2019-02-13,-5.6081
TSK,Skew (TSK),2019-02-14,-5.7663
TSK,Skew (TSK),2019-02-15,-5.9599
TSK,Skew (TSK),2019-02-19,-7.4723
TSK,Skew (TSK),2019-02-20,-4.7488
TSK,Skew (TSK),2019-02-21,-4.7479
TSK,Skew (TSK),2019-02-22,-4.8991
TSK,Skew (TSK),2019-02-25,-2.7916
TSK,Skew (TSK),2019-02-26,-3.6318
TSK,Skew (TSK),2019-02-27,-1.0245
TSK,Skew (TSK),2019-02-28,-0.0944
TSK,Skew (TSK),2019-03-01,3.2685
TSK,Skew (TSK),2019-03-04,0.7741
TSK,Skew (TSK),2019-03-05,1.4161
TSK,Skew (TSK),2019-03-06,2.2877
TSK,Skew (TSK),2019-03-07,-1.2108
TSK,Skew (TSK),2019-03-08,-3.2187
TSK,Skew (TSK),2019-03-11,-2.7903
TSK,Skew (TSK),2019-03-12,-5.3949
TSK,Skew (TSK),2019-03-13,-5.3604
TSK,Skew (TSK),2019-03-14,-2.3441
TSK,Skew (TSK),2019-03-15,-5.1479
TSK,Skew (TSK),2019-03-18,-7.1961
TSK,Skew (TSK),2019-03-19,-5.3419
TSK,Skew (TSK),2019-03-20,-5.8791
TSK,Skew (TSK),2019-03-21,-7.8661
TSK,Skew (TSK),2019-03-22,-16.9174
TSK,Skew (TSK),2019-03-25,-25.0983
TSK,Skew (TSK),2019-03-26,-19.2905
