ticker,series,date,value
TUP,Up Var (TUP),2018-10-01,54.6692
TUP,Up Var (TUP),2018-10-02,53.1486
TUP,Up Var (TUP),2018-10-03,60.0556
TUP,Up Var (TUP),2018-10-04,71.1314
TUP,Up Var (TUP),2018-10-05,69.0899
TUP,Up Var (TUP),2018-10-08,69.0086
TUP,Up Var (TUP),2018-10-09,66.7096
TUP,Up Var (TUP),2018-10-10,70.2628
TUP,Up Var (TUP),2018-10-11,64.883
TUP,Up Var (TUP),2018-10-12,60.1995
TUP,Up Var (TUP),2018-10-15,60.7834
TUP,Up Var (TUP),2018-10-16,59.4755
TUP,Up Var (TUP),2018-10-17,56.4158
TUP,Up Var (TUP),2018-10-18,58.6999
TUP,Up Var (TUP),2018-10-19,60.7702
TUP,Up Var (TUP),2018-10-22,62.4619
TUP,Up Var (TUP),2018-10-23,64.669
TUP,Up Var (TUP),2018-10-24,68.6847
TUP,Up Var (TUP),2018-10-25,64.061
TUP,Up Var (TUP),2018-10-26,71.444
TUP,Up Var (TUP),2018-10-29,69.1633
TUP,Up Var (TUP),2018-10-30,71.6162
TUP,Up Var (TUP),2018-10-31,68.5133
TUP,Up Var (TUP),2018-11-01,67.6962
TUP,Up Var (TUP),2018-11-02,71.1505
TUP,Up Var (TUP),2018-11-05,69.3931
TUP,Up Var (TUP),2018-11-06,75.5579
TUP,Up Var (TUP),2018-11-07,61.2775
TUP,Up Var (TUP),2018-11-08,63.288
TUP,Up Var (TUP),2018-11-09,59.3913
TUP,Up Var (TUP),2018-11-12,59.5007
TUP,Up Var (TUP),2018-11-13,62.5123
TUP,Up Var (TUP),2018-11-14,65.5454
TUP,Up Var (TUP),2018-11-15,65.7073
TUP,Up Var (TUP),2018-11-16,67.3073
TUP,Up Var (TUP),2018-11-19,68.003
TUP,Up Var (TUP),2018-11-20,68.4123
TUP,Up Var (TUP),2018-11-21,66.885
TUP,Up Var (TUP),2018-11-23,63.5258
TUP,Up Var (TUP),2018-11-26,62.4241
TUP,Up Var (TUP),2018-11-27,63.4918
TUP,Up Var (TUP),2018-11-28,63.1804
TUP,Up Var (TUP),2018-11-29,62.4138
TUP,Up Var (TUP),2018-11-30,61.8286
TUP,Up Var (TUP),2018-12-03,59.0338
TUP,Up Var (TUP),2018-12-04,63.5713
TUP,Up Var (TUP),2018-12-05,64.9556
TUP,Up Var (TUP),2018-12-06,67.9864
TUP,Up Var (TUP),2018-12-07,66.1381
TUP,Up Var (TUP),2018-12-10,63.4189
TUP,Up Var (TUP),2018-12-11,63.2754
TUP,Up Var (TUP),2018-12-12,62.2288
TUP,Up Var (TUP),2018-12-13,58.0833
TUP,Up Var (TUP),2018-12-14,58.7612
TUP,Up Var (TUP),2018-12-17,62.4348
TUP,Up Var (TUP),2018-12-18,64.0814
TUP,Up Var (TUP),2018-12-19,61.2145
TUP,Up Var (TUP),2018-12-20,65.978
TUP,Up Var (TUP),2018-12-21,69.227
TUP,Up Var (TUP),2018-12-24,71.2451
TUP,Up Var (TUP),2018-12-26,65.9394
TUP,Up Var (TUP),2018-12-27,69.4971
TUP,Up Var (TUP),2018-12-28,70.0568
TUP,Up Var (TUP),2018-12-31,70.7087
TUP,Up Var (TUP),2019-01-02,68.6899
TUP,Up Var (TUP),2019-01-03,72.3399
TUP,Up Var (TUP),2019-01-04,72.998
TUP,Up Var (TUP),2019-01-07,69.6642
TUP,Up Var (TUP),2019-01-08,68.9298
TUP,Up Var (TUP),2019-01-09,64.8654
TUP,Up Var (TUP),2019-01-10,63.344
TUP,Up Var (TUP),2019-01-11,60.6665
TUP,Up Var (TUP),2019-01-14,63.5568
TUP,Up Var (TUP),2019-01-15,60.7838
TUP,Up Var (TUP),2019-01-16,60.6727
TUP,Up Var (TUP),2019-01-17,62.2583
TUP,Up Var (TUP),2019-01-18,61.0113
TUP,Up Var (TUP),2019-01-22,62.9663
TUP,Up Var (TUP),2019-01-23,61.9076
TUP,Up Var (TUP),2019-01-24,60.5791
TUP,Up Var (TUP),2019-01-25,57.8687
TUP,Up Var (TUP),2019-01-28,58.7468
TUP,Up Var (TUP),2019-01-29,59.3315
TUP,Up Var (TUP),2019-01-30,57.2913
TUP,Up Var (TUP),2019-01-31,55.8448
TUP,Up Var (TUP),2019-02-01,54.4385
TUP,Up Var (TUP),2019-02-04,55.0292
TUP,Up Var (TUP),2019-02-05,54.6791
TUP,Up Var (TUP),2019-02-06,54.5237
TUP,Up Var (TUP),2019-02-07,55.1139
TUP,Up Var (TUP),2019-02-08,53.8734
TUP,Up Var (TUP),2019-02-11,54.662
TUP,Up Var (TUP),2019-02-12,56.4392
TUP,Up Var (TUP),2019-02-13,54.191
TUP,Up Var (TUP),2019-02-14,54.0268
TUP,Up Var (TUP),2019-02-15,50.8297
TUP,Up Var (TUP),2019-02-19,54.2554
TUP,Up Var (TUP),2019-02-20,53.8606
TUP,Up Var (TUP),2019-02-21,55.2873
TUP,Up Var (TUP),2019-02-22,53.7441
TUP,Up Var (TUP),2019-02-25,54.5966
TUP,Up Var (TUP),2019-02-26,55.6165
TUP,Up Var (TUP),2019-02-27,60.5242
TUP,Up Var (TUP),2019-02-28,58.8419
TUP,Up Var (TUP),2019-03-01,60.2089
TUP,Up Var (TUP),2019-03-04,59.3145
TUP,Up Var (TUP),2019-03-05,56.7039
TUP,Up Var (TUP),2019-03-06,55.7665
TUP,Up Var (TUP),2019-03-07,55.458
TUP,Up Var (TUP),2019-03-08,51.8694
TUP,Up Var (TUP),2019-03-11,53.2953
